id_1,id_2
0,23977
1,34526
1,2370
1,14683
1,29982
1,21142
1,20363
1,23830
1,34035
6067,19720
6067,20183
3,4950
3,18029
3,3358
3,34935
3,5916
4,2865
4,9342
5,27803
6,27803
6,18612
6,18876
6,31890
6,17647
6,18562
7,37493
7,33643
7,30199
7,35773
7,11273
7,12775
7,21864
7,9051
34957,21395
34957,9891
34957,9340
34957,31260
34957,14820
34957,31890
34957,26666
34957,22516
8,19253
8,27803
8,11083
8,23973
8,36652
8,10080
8,14003
8,4793
9,15477
9,23914
9,27803
9,33129
9,27768
9,19407
9,30596
10,35842
10,23589
10,37280
10,2078
10,23670
10,32836
10,34238
10,19345
10,19973
10,29557
10,33138
10,35762
10,4708
10,31890
10,15495
10,10487
10,12102
10,27313
10,30199
10,27450
10,19222
10,7843
10,19256
10,14478
10,26143
10,12894
10,11514
10,16321
10,35633
10,22564
10,22666
10,22674
10,5567
10,29876
10,33500
10,14720
10,32322
10,37577
10,36578
10,3797
10,4530
10,27340
10,26639
10,915
10,1407
10,10456
10,17332
10,13638
10,18850
10,1923
10,11271
10,31938
10,27314
10,16641
10,30002
10,7027
10,10535
10,29465
10,35008
10,23972
10,27803
10,16995
10,21934
10,6229
10,29964
10,4469
11,27803
11,31890
12,20854
12,4398
12,9598
12,25134
12,13228
12,11051
13,27803
13,9051
13,5629
14,20880
14,34989
14,15143
14,36404
14,35773
14,33988
14,30809
14,20363
14,18638
14,18910
14,31126
14,7825
14,28922
14,34629
14,13396
14,23838
14,8635
14,4174
15,10219
15,17787
15,3368
15,19253
15,12921
15,30002
15,5310
15,9049
15,30833
15,23204
15,10080
15,27803
15,1501
15,36652
15,33671
15,18163
15,31890
15,29892
17,36099
17,18876
17,32821
18,27803
18,27696
18,23458
20,33863
20,27745
20,29082
20,3922
21,12261
21,23332
21,34114
21,21547
21,9553
21,22321
21,15191
21,14242
21,23783
21,37057
21,2282
21,2992
21,36632
21,19470
21,31890
21,5300
21,20919
21,33029
21,10352
21,12986
21,29615
21,21847
21,20961
21,12396
21,3747
21,8172
21,6790
21,27877
21,5081
21,8360
21,1315
21,33684
21,27803
22,32575
22,13685
22,291
22,3072
22,19222
22,35241
22,7027
23,21298
23,34114
23,22584
23,21498
23,9173
23,19358
23,9388
23,14635
23,6221
23,35359
23,30235
23,31890
24,33029
24,28761
24,327
24,36652
24,22059
24,13638
24,7976
24,26877
24,12523
24,3712
24,32060
24,35558
24,10840
24,23267
24,9722
24,14805
24,2431
24,27954
6071,5061
6071,31890
6071,31987
6071,11051
6071,1739
26,32718
26,17091
26,15554
26,3153
26,31890
26,29055
26,34606
27,14755
27,28477
27,24094
27,12798
27,9947
27,35523
27,19629
27,1659
27,37475
27,28014
27,11225
27,32771
27,30417
27,32452
27,34900
27,2035
27,18588
27,885
27,25948
27,30502
27,14177
27,18595
27,3491
27,14947
27,17644
27,7415
27,25129
27,31525
27,14185
27,22836
27,25748
27,35065
27,8360
27,33424
27,17949
27,23906
27,7847
27,831
27,3582
27,14341
27,7495
27,25819
27,25756
27,9339
27,32507
27,17221
27,12838
27,7075
27,714
27,1767
27,33833
27,479
27,13090
27,35668
27,24810
27,10001
27,10219
27,26298
27,11889
27,34059
27,27874
27,23051
27,26124
27,20024
27,29347
27,27031
27,31500
27,16621
27,1268
27,11720
28,13003
29,31890
29,36652
30,6631
30,20854
30,23664
30,11051
30,19222
30,9051
31,10808
31,23880
31,12505
31,15908
31,17736
31,31890
31,2059
32,4293
32,22351
33,10510
33,5398
34,27474
34,3635
34,27804
34,18741
24655,25120
24655,6452
24655,18377
24655,15977
24655,20084
24655,22253
24655,15940
24655,22464
24655,22615
24655,36628
24655,8626
24655,24419
24655,18244
24655,3903
24655,27022
24655,15919
24655,1174
24655,30814
24655,37428
24655,29886
24655,22881
24655,34440
24655,21973
24655,8292
24655,13493
24655,29889
24655,2417
24655,4528
24655,5412
24655,1483
24655,26585
